subsession.round_number,group.id_in_subsession,subsession.priorities_by_prize,player.id_in_group,player.pref_ranking,player.player_valuations
1,1,"[4, 2, 8, 5, 1, 3, 7, 6]",1,ABFEDC,"[15, 13, 1, 3, 5, 7]"
1,1,"[4, 2, 8, 5, 1, 3, 7, 6]",2,ABDCEF,"[15, 13, 5, 7, 3, 1]"
1,1,"[4, 2, 8, 5, 1, 3, 7, 6]",3,ABEFDC,"[15, 13, 1, 3, 7, 5]"
1,1,"[4, 2, 8, 5, 1, 3, 7, 6]",4,ABDFEC,"[15, 13, 1, 7, 3, 5]"
1,1,"[4, 2, 8, 5, 1, 3, 7, 6]",5,BACDFE,"[13, 15, 7, 5, 1, 3]"
1,1,"[4, 2, 8, 5, 1, 3, 7, 6]",6,BAEFCD,"[13, 15, 3, 1, 7, 5]"
1,1,"[4, 2, 8, 5, 1, 3, 7, 6]",7,BACEDF,"[13, 15, 7, 3, 5, 1]"
1,1,"[4, 2, 8, 5, 1, 3, 7, 6]",8,BAEFDC,"[13, 15, 1, 3, 7, 5]"
1,2,"[2, 5, 7, 4, 3, 1, 8, 6]",1,ABCEFD,"[15, 13, 7, 1, 5, 3]"
1,2,"[2, 5, 7, 4, 3, 1, 8, 6]",2,ABDFCE,"[15, 13, 3, 7, 1, 5]"
1,2,"[2, 5, 7, 4, 3, 1, 8, 6]",3,ABDCEF,"[15, 13, 5, 7, 3, 1]"
1,2,"[2, 5, 7, 4, 3, 1, 8, 6]",4,ABDFCE,"[15, 13, 3, 7, 1, 5]"
1,2,"[2, 5, 7, 4, 3, 1, 8, 6]",5,BAECDF,"[13, 15, 5, 3, 7, 1]"
1,2,"[2, 5, 7, 4, 3, 1, 8, 6]",6,BAEFDC,"[13, 15, 1, 3, 7, 5]"
1,2,"[2, 5, 7, 4, 3, 1, 8, 6]",7,BAEFDC,"[13, 15, 1, 3, 7, 5]"
1,2,"[2, 5, 7, 4, 3, 1, 8, 6]",8,BACEDF,"[13, 15, 7, 3, 5, 1]"
1,3,"[4, 7, 8, 6, 5, 2, 1, 3]",1,ABFCDE,"[15, 13, 5, 3, 1, 7]"
1,3,"[4, 7, 8, 6, 5, 2, 1, 3]",2,ABFCED,"[15, 13, 5, 1, 3, 7]"
1,3,"[4, 7, 8, 6, 5, 2, 1, 3]",3,ABDECF,"[15, 13, 3, 7, 5, 1]"
1,3,"[4, 7, 8, 6, 5, 2, 1, 3]",4,ABDCEF,"[15, 13, 5, 7, 3, 1]"
1,3,"[4, 7, 8, 6, 5, 2, 1, 3]",5,BAFCED,"[13, 15, 5, 1, 3, 7]"
1,3,"[4, 7, 8, 6, 5, 2, 1, 3]",6,BAFEDC,"[13, 15, 1, 3, 5, 7]"
1,3,"[4, 7, 8, 6, 5, 2, 1, 3]",7,BACEFD,"[13, 15, 7, 1, 5, 3]"
1,3,"[4, 7, 8, 6, 5, 2, 1, 3]",8,BACDFE,"[13, 15, 7, 5, 1, 3]"
1,4,"[6, 7, 4, 5, 1, 2, 3, 8]",1,ABDECF,"[15, 13, 3, 7, 5, 1]"
1,4,"[6, 7, 4, 5, 1, 2, 3, 8]",2,ABCDEF,"[15, 13, 7, 5, 3, 1]"
1,4,"[6, 7, 4, 5, 1, 2, 3, 8]",3,ABCFED,"[15, 13, 7, 1, 3, 5]"
1,4,"[6, 7, 4, 5, 1, 2, 3, 8]",4,ABCEFD,"[15, 13, 7, 1, 5, 3]"
1,4,"[6, 7, 4, 5, 1, 2, 3, 8]",5,BAEDFC,"[13, 15, 1, 5, 7, 3]"
1,4,"[6, 7, 4, 5, 1, 2, 3, 8]",6,BAEFDC,"[13, 15, 1, 3, 7, 5]"
1,4,"[6, 7, 4, 5, 1, 2, 3, 8]",7,BACDFE,"[13, 15, 7, 5, 1, 3]"
1,4,"[6, 7, 4, 5, 1, 2, 3, 8]",8,BADFEC,"[13, 15, 1, 7, 3, 5]"
1,5,"[5, 1, 4, 2, 7, 3, 8, 6]",1,ABCDEF,"[15, 13, 7, 5, 3, 1]"
1,5,"[5, 1, 4, 2, 7, 3, 8, 6]",2,ABDCFE,"[15, 13, 5, 7, 1, 3]"
1,5,"[5, 1, 4, 2, 7, 3, 8, 6]",3,ABCFED,"[15, 13, 7, 1, 3, 5]"
1,5,"[5, 1, 4, 2, 7, 3, 8, 6]",4,ABDECF,"[15, 13, 3, 7, 5, 1]"
1,5,"[5, 1, 4, 2, 7, 3, 8, 6]",5,BAEDCF,"[13, 15, 3, 5, 7, 1]"
1,5,"[5, 1, 4, 2, 7, 3, 8, 6]",6,BAEDFC,"[13, 15, 1, 5, 7, 3]"
1,5,"[5, 1, 4, 2, 7, 3, 8, 6]",7,BADECF,"[13, 15, 3, 7, 5, 1]"
1,5,"[5, 1, 4, 2, 7, 3, 8, 6]",8,BAFEDC,"[13, 15, 1, 3, 5, 7]"
2,1,"[5, 6, 7, 2, 8, 1, 4, 3]",1,ABEFDC,"[15, 13, 1, 3, 7, 5]"
2,1,"[5, 6, 7, 2, 8, 1, 4, 3]",2,ABDCEF,"[15, 13, 5, 7, 3, 1]"
2,1,"[5, 6, 7, 2, 8, 1, 4, 3]",3,ABCFED,"[15, 13, 7, 1, 3, 5]"
2,1,"[5, 6, 7, 2, 8, 1, 4, 3]",4,ABDECF,"[15, 13, 3, 7, 5, 1]"
2,1,"[5, 6, 7, 2, 8, 1, 4, 3]",5,BAECDF,"[13, 15, 5, 3, 7, 1]"
2,1,"[5, 6, 7, 2, 8, 1, 4, 3]",6,BACEFD,"[13, 15, 7, 1, 5, 3]"
2,1,"[5, 6, 7, 2, 8, 1, 4, 3]",7,BAFEDC,"[13, 15, 1, 3, 5, 7]"
2,1,"[5, 6, 7, 2, 8, 1, 4, 3]",8,BADFEC,"[13, 15, 1, 7, 3, 5]"
2,2,"[5, 7, 2, 6, 4, 3, 8, 1]",1,ABCDFE,"[15, 13, 7, 5, 1, 3]"
2,2,"[5, 7, 2, 6, 4, 3, 8, 1]",2,ABEFCD,"[15, 13, 3, 1, 7, 5]"
2,2,"[5, 7, 2, 6, 4, 3, 8, 1]",3,ABDCEF,"[15, 13, 5, 7, 3, 1]"
2,2,"[5, 7, 2, 6, 4, 3, 8, 1]",4,ABCDEF,"[15, 13, 7, 5, 3, 1]"
2,2,"[5, 7, 2, 6, 4, 3, 8, 1]",5,BAEFDC,"[13, 15, 1, 3, 7, 5]"
2,2,"[5, 7, 2, 6, 4, 3, 8, 1]",6,BAFCDE,"[13, 15, 5, 3, 1, 7]"
2,2,"[5, 7, 2, 6, 4, 3, 8, 1]",7,BACFED,"[13, 15, 7, 1, 3, 5]"
2,2,"[5, 7, 2, 6, 4, 3, 8, 1]",8,BACEFD,"[13, 15, 7, 1, 5, 3]"
